conjecture_id,found,elapsed_s,violation_score,graph6
886,True,7.158,0.0,>>graph6<<K~~~~~~~~~~~
980,True,0.004,1.5,>>graph6<<@
981,True,0.003,1.0,>>graph6<<@
1177,True,0.004,0.8,>>graph6<<@
1178,True,0.0045,0.6,>>graph6<<@
1191,True,9.428,0.569543,>>graph6<<K??F~z{~Fw^_
1466,True,0.1502,0.486714,>>graph6<<Bo
1566,True,10.9356,1.0,>>graph6<<PhE?GC@?G?o??@??_?G?@??C
1587,False,60.7574,0.0,
1588,True,17.7938,1.0,>>graph6<<ShE?GC@?G?o??@????G?@??D????E???O
1600,False,60.3614,0.0,
1601,True,16.866,1.0,>>graph6<<JaOg?_@?oC?
1708,True,9.8287,1.0,>>graph6<<PhE?GC@?G?o??@??_?G?@??C
1880,True,0.0025,4.0,>>graph6<<@
1891,False,60.2346,0.0,
2041,True,0.003,1.0,>>graph6<<@
2051,True,0.002,1.0,>>graph6<<@
2117,True,0.002,8.343857,>>graph6<<@
2120,False,60.0568,0.0,
2121,True,21.3477,1.0,>>graph6<<RhE?GC@?G?o??@??_?G?@??C????CG
4247,True,0.0035,8.0,>>graph6<<@
4668,True,0.002,8.343857,>>graph6<<@
4712,True,0.0045,2.0,>>graph6<<@
5952,True,28.1969,1.0,>>graph6<<JF@GScC?_C?
5994,True,0.002,9.772429,>>graph6<<@
5996,True,0.002,5.172429,>>graph6<<@
5998,True,0.0011,3.772429,>>graph6<<@
6000,True,0.003,9.772429,>>graph6<<@
6179,True,14.1972,0.583333,>>graph6<<GK|koO
6180,True,0.0025,0.444444,>>graph6<<@
6181,True,0.002,0.166667,>>graph6<<@
6182,True,0.002,0.567017,>>graph6<<@
6267,True,12.8015,0.085714,>>graph6<<IK|kq@?c?
6268,True,0.003,1.0,>>graph6<<@
6269,True,0.003,0.324324,>>graph6<<@
6272,True,0.002,1.4,>>graph6<<@
6278,False,60.0525,-0.217965,
6352,True,0.0031,0.777778,>>graph6<<@
6574,True,10.4291,1.0,>>graph6<<DXG
6582,True,10.3637,1.0,>>graph6<<GMAH?_
6903,True,10.1354,1.0,>>graph6<<FGoPG
688,False,60.0243,0.0,
713,False,60.0215,-0.077509,
737,True,29.4659,0.022412,>>graph6<<I~{?GLAm?
1021,True,3.6454,2.045455,>>graph6<<J?~vfbo{F_?
1337,True,3.6324,0.090909,>>graph6<<J?~vfbo{F_?
1591,True,0.002,0.535714,>>graph6<<@
1729,True,0.0011,0.36,>>graph6<<@
1793,True,0.0019,0.2749,>>graph6<<@
1892,True,17.5569,1.0,>>graph6<<J_O?Y__CA@?
1917,True,0.0011,0.438462,>>graph6<<@
1919,True,0.002,0.309441,>>graph6<<@
2129,True,0.0009,0.438462,>>graph6<<@
2131,True,0.001,0.309441,>>graph6<<@
2252,True,16.4201,0.772116,>>graph6<<PhE?GC@?G?o??@????G?@?_C
2882,True,0.1103,0.25,>>graph6<<Bo
3144,True,0.002,6.666667,>>graph6<<@
3157,True,0.002,11.8,>>graph6<<@
3191,True,0.002,6.333333,>>graph6<<@
3193,True,0.002,11.8,>>graph6<<@
3368,True,0.0033,17.99914,>>graph6<<@
3384,True,0.002,17.99914,>>graph6<<@
3550,False,60.1424,-14.74261,
3961,True,34.5015,0.99635,>>graph6<<X~]}~{???@_F?E?N_Fxd~?I[?}w@^w@~{?||?N|w@~n_Ev~?L~~
3979,True,0.0027,6.211972,>>graph6<<@
4288,True,0.004,2.736013,>>graph6<<@
5381,True,0.001,0.021531,>>graph6<<@
5421,True,0.0024,12.672536,>>graph6<<@
5968,True,0.0011,0.397829,>>graph6<<@
5983,True,0.0011,0.312552,>>graph6<<@
6011,True,0.0036,0.692754,>>graph6<<@
6013,True,0.0011,1.737323,>>graph6<<@
6020,True,0.0021,0.334774,>>graph6<<@
6124,True,0.0659,0.357627,>>graph6<<Bo
6270,True,8.8983,0.300255,>>graph6<<O~~~~~~~~~~~~~~~~~w_?
6351,True,0.0025,1.297537,>>graph6<<@
6466,True,8.3391,0.027771,>>graph6<<K]~v~y~~v~~}
6472,True,8.0312,0.00309,>>graph6<<J]~v~z~~o@?
6617,True,0.002,0.444635,>>graph6<<@
7205,True,10.4581,103.615385,>>graph6<<OU~r~wA@?O?O?_?_G??C?
7206,True,8.058,47.533333,>>graph6<<K]~v~z~~o_A?
7212,True,8.7113,70.444444,>>graph6<<MUvvvz~~_@@?@?O??
7213,True,8.777,34.933333,>>graph6<<M]vf~z~~s??C@??C?
7565,True,8.2421,0.11915,>>graph6<<J]~v~z~~oC?
7566,True,8.9035,1.467642,>>graph6<<L]~vzz~~v~~}?C
7694,True,0.002,0.352706,>>graph6<<@
7695,True,0.002,0.30606,>>graph6<<@
7703,True,0.002,0.216138,>>graph6<<@
7711,True,0.001,12.387247,>>graph6<<@
7712,True,0.002,7.974374,>>graph6<<@
7713,True,0.001,8.581094,>>graph6<<@
7718,True,0.003,5.324366,>>graph6<<@
7719,True,0.002,5.976085,>>graph6<<@
7732,True,8.282,1.927936,>>graph6<<Q]~v~z~~v~~}~~~~^~~~}??O@??
7734,False,60.2079,-1.110057,
7743,True,0.0031,3.462416,>>graph6<<@
7753,True,0.0016,6.082683,>>graph6<<@
7773,True,0.0011,3.462416,>>graph6<<@
7811,True,30.0305,0.107678,>>graph6<<S???O[NBu]_nB~J~`~g]~Az{L~x_?C???
7813,True,0.0035,62.771538,>>graph6<<@
